__atable_index,file_path,corpus,size_bytes,sha256,row_created,row_updated
"('satellogic_all/fields2020/image_20201008-135317-866_0013-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135317-866_0013-u8be-1x5120x5120.raw,fields2020,26214400,d1e3ef8601ea58d3e3540d8f418720a4043a8662b572a7e4f7f7e8d0d0948598,2022-02-10T02:09:41.355176,2022-02-10T02:09:41.356594
"('satellogic_all/fields2020/image_20201008-135317-992_0015-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135317-992_0015-u8be-1x5120x5120.raw,fields2020,26214400,f0cf057a130ac611086ec246bca56b0bbe3e547e80958b128ae2618192ac7e07,2022-02-10T02:09:41.363683,2022-02-10T02:09:41.365054
"('satellogic_all/fields2020/image_20201008-135318-119_0017-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135318-119_0017-u8be-1x5120x5120.raw,fields2020,26214400,61e8ea444f62430d41275a657c8d1bbc83af7295f83a3c136500ecebdc10ed87,2022-02-10T02:09:41.353065,2022-02-10T02:09:41.354339
"('satellogic_all/fields2020/image_20201008-135318-245_0019-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135318-245_0019-u8be-1x5120x5120.raw,fields2020,26214400,1a3713ec21676514af8df18de64831eee5ce5b430e86d4051855f26b2f6fbede,2022-02-10T02:09:41.369417,2022-02-10T02:09:41.370417
"('satellogic_all/fields2020/image_20201008-135318-371_0021-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135318-371_0021-u8be-1x5120x5120.raw,fields2020,26214400,475ff22446de7206ea260b2b60d4274acd6efbf18560cb1005d858f96fd1e2ca,2022-02-10T02:09:41.378969,2022-02-10T02:09:41.380353
"('satellogic_all/fields2020/image_20201008-135318-498_0023-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135318-498_0023-u8be-1x5120x5120.raw,fields2020,26214400,c092da8f168bb323ae9937f8d49256112e804dd10fc7d2ced2ea59bb1d4b293e,2022-02-10T02:09:41.388928,2022-02-10T02:09:41.389999
"('satellogic_all/fields2020/image_20201008-135318-624_0025-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135318-624_0025-u8be-1x5120x5120.raw,fields2020,26214400,f914e40af06cc795e8d133d2abc35328e0e3db51513d8f68cc6386aa49a95645,2022-02-10T02:09:41.383817,2022-02-10T02:09:41.384768
"('satellogic_all/fields2020/image_20201008-135318-750_0027-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135318-750_0027-u8be-1x5120x5120.raw,fields2020,26214400,1f0fb331a8a56647c655c311e83837f19c9d02baebc0461568497b6432d38c8d,2022-02-10T02:09:41.406899,2022-02-10T02:09:41.408640
"('satellogic_all/fields2020/image_20201008-135318-877_0029-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135318-877_0029-u8be-1x5120x5120.raw,fields2020,26214400,acf7ff75dcef0acd77d3acb5877c59be8fedece80ba47ee4292d60afdcce4d50,2022-02-10T02:09:41.401632,2022-02-10T02:09:41.403349
"('satellogic_all/fields2020/image_20201008-135319-003_0031-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135319-003_0031-u8be-1x5120x5120.raw,fields2020,26214400,7efc7fe3c889219a9aa35590fc403f00eba8df9616a3d11afc0738f4a4e22e8c,2022-02-10T02:09:41.419053,2022-02-10T02:09:41.421308
"('satellogic_all/fields2020/image_20201008-135319-130_0033-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135319-130_0033-u8be-1x5120x5120.raw,fields2020,26214400,1c0942c2a6bf583cfb5628092087f0c91a310909bee4884e6806f288f768b4b9,2022-02-10T02:09:41.423179,2022-02-10T02:09:41.424769
"('satellogic_all/fields2020/image_20201008-135319-256_0035-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135319-256_0035-u8be-1x5120x5120.raw,fields2020,26214400,e0b9b4d8d2ac4d4532ebbf59f1133ae1280ed3f9f0b01ee465ad2eb1630d6592,2022-02-10T02:09:41.412773,2022-02-10T02:09:41.414070
"('satellogic_all/fields2020/image_20201008-135319-383_0037-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135319-383_0037-u8be-1x5120x5120.raw,fields2020,26214400,6c1afcf78c2951daa2dcc8e77e0f1eb2fd8ae4d04a7e6eea7dfe5aa9d339eb6f,2022-02-10T02:09:41.428236,2022-02-10T02:09:41.429180
