__atable_index,file_path,corpus,size_bytes,sha256,bytes_per_sample,float,signed,big_endian,dtype,type_name,samples,width,height,component_count,row_created,row_updated
"('satellogic_all/fields2020/image_20201008-135334-804_0281-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135334-804_0281-u8be-1x5120x5120.raw,fields2020,26214400,3565976ed468903f4caed6850fb5589c84abdb7d28c22a579e429677654a819c,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.005585,2022-02-10T12:33:21.006467
"('satellogic_all/fields2020/image_20201008-135334-930_0283-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135334-930_0283-u8be-1x5120x5120.raw,fields2020,26214400,a020282ded35a67eeb5888afd89c2a32d7524b206ccaa754b692d6f10eceec64,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.026066,2022-02-10T12:33:21.026937
"('satellogic_all/fields2020/image_20201008-135335-057_0285-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135335-057_0285-u8be-1x5120x5120.raw,fields2020,26214400,9c9bcb2aba9de6968201f5f599683bcb4c5d84b1398b0e59faec88159945d5d2,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.031040,2022-02-10T12:33:21.032278
"('satellogic_all/fields2020/image_20201008-135335-183_0287-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135335-183_0287-u8be-1x5120x5120.raw,fields2020,26214400,83396f3c89fca5379252f052c8341b118b5d5cf84e83c4f0678150f20ff3d4a5,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.046976,2022-02-10T12:33:21.048312
"('satellogic_all/fields2020/image_20201008-135335-310_0289-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135335-310_0289-u8be-1x5120x5120.raw,fields2020,26214400,9183ee3bd2d86ef0219d6c45481a5918973854d3888d4571f7b21f1f495eaa4d,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.049239,2022-02-10T12:33:21.049892
"('satellogic_all/fields2020/image_20201008-135335-436_0291-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135335-436_0291-u8be-1x5120x5120.raw,fields2020,26214400,310c6706387ed1fa11546c6ccaa0b2abe773c3f31bbb48b4a72d545f29785508,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.066019,2022-02-10T12:33:21.066942
"('satellogic_all/fields2020/image_20201008-135335-562_0293-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135335-562_0293-u8be-1x5120x5120.raw,fields2020,26214400,dee0b24efcf24a691669a228b131911c37aef3a00416296e4044a2a3de3707fe,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.070410,2022-02-10T12:33:21.071048
"('satellogic_all/fields2020/image_20201008-135335-689_0295-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135335-689_0295-u8be-1x5120x5120.raw,fields2020,26214400,365f0264ccabcc13aa8db350317bf97728ace46e225c1c10bfb90387e9b8a269,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.078083,2022-02-10T12:33:21.078925
"('satellogic_all/fields2020/image_20201008-135335-815_0297-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135335-815_0297-u8be-1x5120x5120.raw,fields2020,26214400,86772a7f9606c0918cccb9547dd986616d483e4ebae2db150acdaa608b20cf68,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.090810,2022-02-10T12:33:21.091649
"('satellogic_all/fields2020/image_20201008-135335-942_0299-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135335-942_0299-u8be-1x5120x5120.raw,fields2020,26214400,883193344b77bc17eaebf89670acd58094c67cad8d23272fd3d6e69994f28773,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.097487,2022-02-10T12:33:21.098254
"('satellogic_all/fields2020/image_20201008-135336-068_0301-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135336-068_0301-u8be-1x5120x5120.raw,fields2020,26214400,e4f78ef160e86b9163685286e4a109e2941d10e37ffa38020e16c9815a0cc135,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.108052,2022-02-10T12:33:21.108834
"('satellogic_all/fields2020/image_20201008-135336-195_0303-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135336-195_0303-u8be-1x5120x5120.raw,fields2020,26214400,256e06d9bad0fd9428cfc5b81649cc84a84bbcd359f9b10ddd7421646535f0d7,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.118794,2022-02-10T12:33:21.119646
"('satellogic_all/fields2020/image_20201008-135336-321_0305-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135336-321_0305-u8be-1x5120x5120.raw,fields2020,26214400,db8112eeccec5812fe33a1a42cd8a060bdc089ec933de1d87f38f5b037548068,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.125270,2022-02-10T12:33:21.126089
"('satellogic_all/fields2020/image_20201008-135336-447_0307-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135336-447_0307-u8be-1x5120x5120.raw,fields2020,26214400,4b72d6f144bed9c3604c8b62c24a19b719b9727cfa27dd05501db98ae5ea7935,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.138483,2022-02-10T12:33:21.139348
"('satellogic_all/fields2020/image_20201008-135336-574_0309-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135336-574_0309-u8be-1x5120x5120.raw,fields2020,26214400,9e126bd7fe94c13cb88b0f4259dd33214cf1ea645313023f64349cf5cdb486a3,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.150698,2022-02-10T12:33:21.151573
"('satellogic_all/fields2020/image_20201008-135336-700_0311-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135336-700_0311-u8be-1x5120x5120.raw,fields2020,26214400,299471a4f57589c841a3ea6edbee1c673903afe4a602d5b1649271eaab15901c,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.153649,2022-02-10T12:33:21.154518
"('satellogic_all/fields2020/image_20201008-135336-827_0313-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135336-827_0313-u8be-1x5120x5120.raw,fields2020,26214400,fbb7c3eacab3b19604b32d05a6a3d6bef80c6df85b5ae0034784efbd8e9b06e0,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.170034,2022-02-10T12:33:21.170941
"('satellogic_all/fields2020/image_20201008-135336-953_0315-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135336-953_0315-u8be-1x5120x5120.raw,fields2020,26214400,97e741300a41fb9098abd297f116daa84be7c767dd1b1321071479d45aaa6dd4,1,False,False,True,>u1,u8be,26214400.0,5120,5120,1,2022-02-10T12:33:21.178271,2022-02-10T12:33:21.179118
